latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.63296,3.32818,,Point,LA,OSGOF,St Theresa Catholic Church Ogba Ijaiye,LASIOE10,Church,63e3d5e2-b2e7-4ad7-8ced-add301454735
6.5767,3.28445,,Point,LA,OSGOF,Redeemed Christian Church Of God Anoiting Center,LASAMO36,Church,648f57fc-7a46-4757-93e3-688b8df23180
6.50072,3.19375,,Point,LA,OSGOF,Christ Apostolic Church Iba New Site,LASOJO04,Church,6499285e-06d8-4707-8d7a-df3061a9ae4c
6.51538,3.33719,,Point,LA,OSGOF,Church Deliverance,LASMUN17,Church,649c3378-68d2-4409-b879-9a27917b9283
6.54889,3.32605,,Point,LA,OSGOF,Arch A Adetiloye Anglican Church Ajao Estate,LASOIO04,Church,64a9226d-9d07-449a-92ff-8c6d7bcffe27
6.52145,3.38018,,Point,LA,OSGOF,Foursquare Gospel Church Abule Ijesha,LASLMD02,Church,64b3760c-816e-4b8c-af5f-a3adaeda5fdf
6.47742,3.1478,,Point,LA,OSGOF,Deeper Life Bible Church Adaloko,LASOJO13,Church,64b99b84-05c6-4d7f-be01-7e8c9b018784
6.53175,3.36241,,Point,LA,OSGOF,Redeemed Christian Church Of God Onipanu,LASMUN10,Church,64c0c0bd-3a54-4d8f-ae1a-1cfc9be661e7
6.42272,3.52387,,Point,LA,OSGOF,Redeemed Christian Church Of God Okun Alfa,LASEOA08,Church,64e64344-9f7f-474d-91c4-485b92614f64
6.54942,3.29599,,Point,LA,OSGOF,Foursquare Gospel Church Agbaka,LASOIO10,Church,64e8a5ee-cc38-4136-acca-804e86b0eb48
6.52248,3.29304,,Point,LA,OSGOF,Newlife Christ Oshoru,LASOIO17,Church,650c45ce-30b4-4150-8edd-a6d20be60833
6.5911,3.96147,,Point,LA,OSGOF,Rev Braithwaite Memorial Anglican Church Papa,LASEPE18,Church,652ebcf8-c0ba-413d-8162-946720a82b73
