latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.46627,3.36136,,Point,LA,OSGOF,Ajumoni Central Mosque Badia,LASAPA06,Mosque,1ae238f0-eb00-4e7d-bbe9-b68924c822fe
6.47924,3.34177,,Point,LA,OSGOF,Temitayo Mosque,LASSUE07,Mosque,1b35ebd0-41eb-4d58-9a90-f66c6e3c99e6
6.56231,3.33683,,Point,LA,OSGOF,Mafoluku Mosque 1,LASOIO16,Mosque,1c1e9244-0bc9-47b8-808d-4cd36aed7fa5
6.54511,3.37944,,Point,LA,OSGOF,Alabukun Mosque,LASSMU03,Mosque,1c489d16-a489-48eb-ade7-63f8f454be35
6.4658,3.33972,,Point,LA,OSGOF,Mosafejo Mosque,LASATO03,Mosque,1c6ac95f-b5e0-4570-8092-4dadf651ff0a
6.49647,3.3879,,Point,LA,OSGOF,Olaiya Central Mosque,LASLMD12,Mosque,1c9a3c37-b69d-442e-80cf-7acb1ff1af96
6.55892,3.34692,,Point,LA,OSGOF,Ganikale Sawiat Mosque,LASOIO11,Mosque,1d13e756-b418-4515-8d2c-3b7c72c51353
6.52829,3.36505,,Point,LA,OSGOF,Soyege Central Mosque,LASMUN10,Mosque,1d31f0cf-266e-452b-afdd-4452cb4e0aed
6.65934,3.29204,,Point,LA,OSGOF,Sawiya Central Mosque,LASAMO05,Mosque,1d380531-d16f-46ca-bfb9-599cf91fa717
6.46592,3.17331,,Point,LA,OSGOF,Abule Aka Central Mosque,LASOJO10,Mosque,1e0d96fa-c3d3-4d16-a4e1-af4e83efb6a6
6.53725,3.29567,,Point,LA,OSGOF,Ansar Ud Deen Mosque Ailegun,LASOIO03,Mosque,1ee9a419-7d6b-4009-ab49-58574bc94697
6.53226,3.33937,,Point,LA,OSGOF,Adenekan Central Mosque,LASMUN19,Mosque,1ef88e92-9a15-4779-a8bf-4770a366ef30
6.61613,3.30953,,Point,LA,OSGOF,Aduragba Mosque,LASAGG10,Mosque,1f1421b4-71e4-4d64-bc9d-f4bb0a943a1e
6.63619,3.8778,,Point,LA,OSGOF,Ketu Central Mosque 3,LASEPE07,Mosque,1f23853c-ed49-405a-931b-2ae68121f539
6.48773,3.90669,,Point,LA,OSGOF,Iba Oloja Central Mosque,LASIUI01,Mosque,1f452056-af16-4e76-a52c-56ed1696d490
6.43553,2.87927,,Point,LA,OSGOF,Ajara Seje Ajigbare Mosque,LASBDY03,Mosque,1f52d960-a8d4-4f91-8318-1cbc6322c797
6.55542,3.33221,,Point,LA,OSGOF,Tawakaltu Mosque,LASOIO15,Mosque,1f82cf08-bed2-412a-814f-6882c5a751b5
6.55974,3.29874,,Point,LA,OSGOF,Morcas Ud Ulum Central Mosque,LASOIO02,Mosque,205ec354-61da-4f7b-9372-35245b86014d
6.53876,3.31535,,Point,LA,OSGOF,Ilamoshe Central Mosque,LASOIO12,Mosque,2141ff11-19b8-43bd-bea1-b42b846cd35a
6.62743,3.30929,,Point,LA,OSGOF,Anu Olwa Mosque,LASAGG04,Mosque,21c36452-bb43-49b8-8ea9-1cf13dec7898
6.42249,3.1068,,Point,LA,OSGOF,Oko Ogbo Central Mosque,LASBDY15,Mosque,22032cd9-2616-4afd-90b9-667f53745531
6.55162,3.2597,,Point,LA,OSGOF,Abdulkareem Memorial Mosque,LASAMO25,Mosque,22a0caf3-43fc-44bc-9c1b-c93c30b3fd36
6.53008,3.24361,,Point,LA,OSGOF,Abaranje Central Mosque,LASAMO01,Mosque,22f10301-b53e-480a-a167-f4ef3546a1e5
6.50213,3.34323,,Point,LA,OSGOF,Albarika Mosque Ikate,LASSUE08,Mosque,23152ca5-b172-4a8d-9515-f27ba67ee0c7
6.57901,3.53289,,Point,LA,OSGOF,Selewu Mosque,LASIKU01,Mosque,23ce6ec6-2e37-49a0-bdc0-9e7e8b97e825
6.65684,3.79517,,Point,LA,OSGOF,Itoikin Central Mosque,LASEPE09,Mosque,23e691cf-3d32-4d89-ba51-e7b386ee367c
6.56142,3.33109,,Point,LA,OSGOF,Fiwakesin Mosque,LASOIO19,Mosque,244ad3ac-d5d5-4442-a48c-fd2bc6733a42
6.52354,3.38994,,Point,LA,OSGOF,Ifelodun Mosque Abule Ijesha,LASLMD02,Mosque,24caeed9-bcee-4c22-ab8e-85debb4d0a02
6.60486,3.34582,,Point,LA,OSGOF,Tawakalitu Mosque,LASIKA17,Mosque,25172dd9-5aa4-4124-9de5-4dff28e7ab61
6.51411,3.20044,,Point,LA,OSGOF,Iba Central Mosque,LASOJO04,Mosque,25421c4b-6c6d-40a5-a183-e4d2492dd5ec
6.5317,3.38327,,Point,LA,OSGOF,Istujaba Mosque,LASSMU04,Mosque,2570283d-658f-42a2-97fd-90509cd66b32
6.66065,3.29189,,Point,LA,OSGOF,Hamadiya Mosque,LASIOE07,Mosque,265a00d3-638d-4014-adff-213d46b45d36
6.55422,3.3336,,Point,LA,OSGOF,Opeloyero Quranic Mosque,LASOIO15,Mosque,26908c00-91f5-4327-9526-824de3038032
6.46734,3.33409,,Point,LA,OSGOF,Prince Abdulazeez Mosque,LASATO06,Mosque,26a3b33b-c39f-43d2-981f-2602ca7273eb
6.42691,3.61754,,Point,LA,OSGOF,Okun Mopo Akinlade Central Mosque,LASEOA17,Mosque,27bbdd3d-8ec5-48e6-a307-06e03920922c
6.51912,3.34866,,Point,LA,OSGOF,Idi Araba Muslim Community Mosque,LASMUN11,Mosque,2866fbf0-4586-4aea-a8eb-0ff413e156bc
6.46423,3.33803,,Point,LA,OSGOF,Anjorin Aduragbemi Mosque,LASATO03,Mosque,286ed029-29f4-4c87-bfdb-f44b9af8a96a
6.46439,3.35213,,Point,LA,OSGOF,Oridilu Mosque 1,LASATO05,Mosque,2881e6d5-1f92-4bd5-896a-3deaaa3df947
6.56041,3.34363,,Point,LA,OSGOF,Oshodi Central Mosque,LASOIO11,Mosque,29abe251-d722-4959-9f80-e6c54a0c95d2
6.52356,3.36414,,Point,LA,OSGOF,Amadiya Mosque,LASMUN02,Mosque,29fec2c3-48c9-40b8-bfc6-518355bf366f
6.60063,3.33764,,Point,LA,OSGOF,Anifowose Mosque,LASIKA05,Mosque,2af50949-9e8d-415c-81dc-2f70f839f388
6.463823,3.342483,,Point,LA,eHA_Polio,Akorede Mosque,LASATO05,Mosque,2b2a5ff2-10e3-4b21-9960-a4da340616bf
6.45298,3.39701,,Point,LA,OSGOF,Jama At Ul Islamiya Mosque,LASLID16,Mosque,2b40b857-3095-48bb-9576-e3a413c2d240
6.539042,3.22292,,Point,LA,eHA_Polio,Odofin Mosque,LASAMO08,Mosque,2b4f6e2b-a62e-42f5-85af-2c8d2e304eb6
6.4926,3.58227,,Point,LA,OSGOF,Central Mosque Oke Ira Kereke,LASEOA02,Mosque,2bf17c3d-091a-48d2-b499-94c8a6614e79
6.45482,3.33223,,Point,LA,OSGOF,Awodi Ora Mosque,LASATO07,Mosque,2c596309-631f-4b32-8e92-56cfba82a123
